"IMPORTANTE","cod_universidad","des_universidad","curso_academico","cod_tipo_programa_mov","des_tipo_programa_mov","cod_programa_movilidad","des_programa_movilidad","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","anio_nacimiento","cod_genero","des_genero","cod_nivel_formativo_destino","des_nivel_formativo_destino","cod_universidad_procedencia","des_universidad_procedencia","cod_ambito_univ_procedencia","des_ambito_univ_procedencia","cod_municipio_univ_procedencia","des_municipio_univ_procedencia","cod_pais_univ_procedencia","des_pais_univ_procedencia","lat_pais_univ_procedencia","lon_pais_univ_procedencia","cod_continente_univ_procedencia","des_continente_univ_procedencia","cod_agregacion_paises_univ_procedencia","des_agregacion_paises_univ_procedencia","cod_municipio_destino","des_municipio_destino","cod_comunidad_destino","des_comunidad_destino","cod_provincia_destino","des_provincia_destino","lat_municipio_destino","lon_municipio_destino","cod_ambito_univ_destino","des_ambito_univ_destino","mes_inicio_programa","mes_fin_programa"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","1996","M","Mujer","2","Máster","I PADOVA01","UNIVERSITA' DEGLI STUDI DI PADOVA",,,,"PADOVA","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","1997","M","Mujer","1","Grado, Ciclos","I PADOVA01","UNIVERSITA' DEGLI STUDI DI PADOVA",,,,"PADOVA","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","1997","M","Mujer","1","Grado, Ciclos","I CATANIA01","UNIVERSITA' DEGLI STUDI DI CATANIA",,,,"CATANIA","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","1992","M","Mujer","2","Máster","I ROMA16","UNIVERSITA' DEGLI STUDI ROMA TRE",,,,"ROME","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","1996","M","Mujer","1","Grado, Ciclos","I PADOVA05","SCUOLA PER MEDIATORI LINGUISTICI CIELS",,,,"PADOVA","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","1997","M","Mujer","1","Grado, Ciclos","I PERUGIA01","UNIVERSITA' DEGLI STUDI DI PERUGIA",,,,"PERUGIA","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","1997","M","Mujer","1","Grado, Ciclos","I URBINO01","""UNIVERSITA' DEGLI STUDI DI URBINO """"CARLO BO""""""",,,,"URBINO","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","1996","M","Mujer","2","Máster","I BOLOGNA01","UNIVERSITÀ DI BOLOGNA - ALMA MATER STUDIORUM",,,,"BOLOGNA","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","1995","M","Mujer","1","Grado, Ciclos","I ROMA16","UNIVERSITA' DEGLI STUDI ROMA TRE",,,,"ROME","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","1998","M","Mujer","1","Grado, Ciclos","I PALERMO01","UNIVERSITA' DEGLI STUDI DI PALERMO",,,,"PALERMO","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","019","Universidad de Valladolid","2018-19","1","Estudios y/o proyecto fin de grado","10","ERASMUS +","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","1995","M","Mujer","1","Grado, Ciclos","I ROMA01","UNIVERSITA' DEGLI STUDI DI ROMA 'LA SAPIENZA'",,,,"ROMA","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","47186","VALLADOLID","7","Castilla León","47","Valladolid","41.65295","-4.728388",,,"01/09/2018","01/06/2019"
